no_acclimation,genus,species,phylum,class,order,family,life_stage,age_maturity_days_female,age_maturity_days_female_reference,age_maturity_days_male,age_maturity_days_male_reference,age_maturity-days_unknown_sex,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,average_body_size_female,average_body_size_female_reference,average_body_size_male,average_body_size_male_reference,average_body_size_unknown_sex,season_inactive,logic_source_for_season_inactive,migratory,source_logic_for_migration_info,season_when_away_10km+ (migratory only),season_when_away_100km+ (migratory only),logic_source_season_when_away,Home range size_Km2,logic-source_for_Home range size,data_gatherer,lifespan_days,lifespan_days_reference,Notes
,Ascaphus,truei,Chordata,Amphibia,Anura,NA,Adult,730,2-3 years (amphibio),730,2-3 years (amphibio),Y,0-1,rarely moved more than 10m (amphibiaweb),,,5,SVL - amphibio,,,,,,none,no hibernation+ some remain active (https://animaldiversity.org/accounts/Ascaphus_truei/),non-migratory,taxa,NA,NA,NA,0.00031416,rarely moved more than 10m upstream or downstream (amphibiaweb),Nikki,5110,known to live 14 years max (AmphibiaWeb),
,Buergeria,japonica,Chordata,Amphibia,Anura,NA,larva,1095,3 years (http://www.airitilibrary.com/Publication/alDetailedMesh?docid=U0021-1610201315180577),730,2 years (http://www.airitilibrary.com/Publication/alDetailedMesh?docid=U0021-1610201315180577),,0-1,moved 130m max between Apr and Sept - figure 4 (https://doi.org/10.1670/10-252.1),,,3.7,SVL - amphibio,3.5,3.5cm+ no measurement type specified (https://doi.org/10.1016/j.ecoleng.2017.05.019),2.5,2.5cm+ no measurement type specified (https://doi.org/10.1016/j.ecoleng.2017.05.019),,unk,,non-migratory,taxa,NA,NA,NA,unk,,Nikki,2190,6 years max from a study (http://www.airitilibrary.com/Publication/alDetailedMesh?docid=U0021-1610201315180577),
,Bufo,boreas,Chordata,Amphibia,Anura,Bufonidae,adult,1460,4-6 years (amphibio),1460,4-6 years (amphibio),Y,1-10,up to 7.2km (https://www.sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_toad_e.pdf),,,12.5,SVL - amphibio,,,,,,winter,lodge in squirrel burrows in the winter and return home in summer (AmphibiaWeb),non-migratory,taxa,NA,NA,NA,0.043558-0.046185,home range including and excluding breeding site (https://www.sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_toad_e.pdf),Nikki,4197.5,11.5 years max (amphibio),
,Crinia,parainsignifera,Chordata,Amphibia,Anura,NA,Adult,unk,,unk,,,0-1,max dispersal estimate by expert was 960m (Bishop-Taylor+ R.+ Tulbure+ M. G.+ & Broich+ M. (2015). Surface water network structure+ landscape resistance to movement and flooding vital for maintaining ecological connectivity across Australia’s largest river basin. Landscape ecology+ 30(10)+ 2045-2065.),,,2,SVL - amphibio,,,,,,none,able to breed in response to rainfall all year round+ non-burrowing (https://doi.org/10.1007/s10750-011-0955-2 + https://eprints.qut.edu.au/16610/1/Joanne_Chambers_Thesis.pdf),non-migratory,taxa,NA,NA,NA,unk,,Micky/Nikki,unk,,
,Crinia,parinsignifera,Chordata,Amphibia,Anura,NA,Adult,unk,,unk,,,0-1,max dispersal estimate by expert was 960m (Bishop-Taylor+ R.+ Tulbure+ M. G.+ & Broich+ M. (2015). Surface water network structure+ landscape resistance to movement and flooding vital for maintaining ecological connectivity across Australia’s largest river basin. Landscape ecology+ 30(10)+ 2045-2065.),,,2,SVL - amphibio,,,,,,none,able to breed in response to rainfall all year round (https://doi.org/10.1007/s10750-011-0955-2),non-migratory,taxa,NA,NA,NA,unk,,Micky/Nikki,unk,,
,Crinia,signifera,Chordata,Amphibia,Anura,Myobatrachidae,adult,1095,most commonly after 3 years (https://doi.org/10.1071/ZO04028),730,2 years (https://doi.org/10.1071/ZO04028),,0-1,disperses distances of at least 500m (DOI: 10.1071/PC050050),,,3,SVL - DOI: 10.1071/WR04120,3.0,30mm (DOI: 10.1071/WR04120),2.5,25mm (DOI: 10.1071/WR04120),,none,suggests low activity+ but no evidence of refuge (DOI: 10.1071/WR04120),non-migratory,taxa,NA,NA,NA,unk,,Micky/Nikki,2555,7 years max (Lauck 2005),
,Crinia,victoriana,Chordata,Amphibia,Anura,Myobatrachidae,adult,unk,,unk,,,unk,,,,3.5,SVL - amphibio,,,,,,unk,,non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Cyclorana,brevipes,Chordata,Amphibia,Anura,Hylidae,adult,730,"""minimum age at which females are known or suspected to first reproduce is <2 years."" https://web.archive.org/web/20061002035356/http://www.frogsaustralia.net.au/frogs/display.cfm?frog_id=119",unk,,,unk,,,,4.5,unk measurement type (https://web.archive.org/web/20061002035356/http://www.frogsaustralia.net.au/frogs/display.cfm?frog_id=119),,,,,,hot dry,"""The short-footed frog habits dry forest and grassland+ where it burrows underground for most of the year. During times of rain+ the frogs will emerge from their burrows"" (wikipedia)",non-migratory,taxa,NA,NA,NA,unk,lives underground most of the time,ALH,unk,guestimate - other species of cyclorana can stay dormant underground for 5 years (ie almost 2000 days),
,Desmognathus,fuscus,Chordata,Amphibia,Caudata,Plethodontidae,unknown,1095,AmphibiaWeb,730,AmphibiaWeb,,0-1,Barthlamus+ G. T. and Bellis+ E. D. 1972. Home range+ homing and homing mechanism of the salamander+ Desmognathus fuscus.  Copeia 1972: 632 -642. + amphibiaweb,,,14.2,14.2cm from ADW+ TL - amphibio+ 4 from (Jones+ R.L. 1986. Reproductive biology of Desmognathus fuscus and Desmognathus santeetlah in the Unicoi Mountains. Herpetologica 42:323-334.)+ ,8.6,8.6cm https://animaldiversity.org/accounts/Desmognathus_fuscus/,9.4,9.4cm https://animaldiversity.org/accounts/Desmognathus_fuscus/,,none,no hibernation or aestivation (Ashton 1975+ amphibiaweb),non-migratory,taxa,NA,NA,not known to undertake extensive migrations+ but move to microhabitats several degrees warmer Nov - Dec (AmphibiaWeb),0.0000014-0.000114,1.4-114m2 (https://animaldiversity.org/accounts/Desmognathus_fuscus/),Micky/Ilona/Nikki,1569.5,4.3 years max (amphibio),
no,Desmognathus,monticola,Chordata,Amphibia,Caudata,NA,Adult,1642,AnAge,1277,AnAge,,unk,far' during recapture = more than 12inches (DOI: 10.2307/2423688),,,8,SVL - amphibiaweb,,,,,,kunk,Amphibiaweb,non-migratory,taxa,NA,NA,NA,0.00000007-0.0000084,0.07-8.4m2 (amphibiaweb),Nikki,4015,11 years - AmphibiaWeb,
,Desmognathus,ochrophaeus,Chordata,Amphibia,Caudata,NA,Adult,730,2-4 years (amphibio),730,2-4 years (amphibio),Y,0-1,adults move an average of 1.8m (Amphibiaweb),,,9.05,TL - amphibio,,,,,,Oct - Mar,inactive October-March+ remain in underground refugia when temperatures drop below 0 ˚C (Keen+ 1979; Pauley+ 1993b+ 1995a); AmphibiaWeb,non-migratory,taxa,NA,NA,NA,0.000001,less than 1m2 (AmphibiaWeb),Ilona/Nikki,7300,20 years max (amphibio),
,Desmognathus,quadramaculatus,Chordata,Amphibia,Caudata,Ambystomatidae,Adult,2190,6-7 years (amphibio),2190,6-7 years (amphibio),Y,0-1,Cecala and Maerz 2015. Context-dependent responses to light contribute to responses by Black-bellied Salamanders (Desmognathus quadramaculatus) to landscape disturbances,,,21,TL - amphibio,,,,,,kunk,Amphibiaweb,non-migratory,taxa,NA,NA,NA,0.00117,minimum home range of 1207cm2+ maximum distance of 19.33m (DOI: 10.2307/1446943),Ilona/Nikki,5475,15 years max (amphibio),
,Eleutherodactylus,coqui,Chordata,Amphibia,Anura,Eleutherodactylidae,adult,365,1 year (amphibio),365,1 year (amphibio),Y,0-1,(Hobel+ G. 1999. Notes on the natural history and habitat use of Eleutherodactylus 側zingeri (Anura: Leptodactylidae).   Amphib.-Reptilia 20: 65 -72.),,,5.2,SVL - amphibio,,,,,,winter,says inactive during winter season http://issg.org/pdf/publications/Island_Invasives/pdfHQprint/2Beachy.pdf,non-migratory,taxa,NA,NA,NA,0.0000785,horizontal home range is ~5 m (AmphibiaWeb),Micky/Nikki,2190,6 years max+ most not living until second year (amphibio + AmphibiaWeb),
,Eleutherodactylus,portoricensis,Chordata,Amphibia,Anura,NA,Adult,unk,20 – 22 months until adult size but may not be sexually mature at that point (amphibiaweb),unk,,,0-1,"""moving an average of 3 m during the dry season and 4.5 m during the wet season in optimum conditions"" (https://doi.org/10.1007/s10393-010-0327-9)",,,4.2,SVL - amphibio,3.78,37.8mm (amphibiaweb),3.22,32.2mm (amphibiaweb),,none,hides during day under trees and leaf litter (https://www.fs.usda.gov/detail/elyunque/learning/nature-science/?cid=fsbdev3_042901),non-migratory,taxa,NA,NA,NA,unk,maybe can use territory specified in dispersal article  ,Nikki,unk,,
,Eurycea,bislineata,Chordata,Amphibia,Caudata,Plethodontidae,unknown,1095,3-4 years (amphibio),1095,3-4 years (amphibio),Y,0-1,Johnson+ J. E. and Goldberg+ A. S. 1975. Movement of  larval two lined salamanders (Eurycea bislineata ) in the Mill River+ Massachusetts.  Copeia 1975: 588 -589.,,,12.3,TL - amphibio,,,,,,winter,"""may remain active in springs+ streams+ or water laden soil where temperatures are above freezing in winter months. Alternatively+ adults may burrow deep into leaf litter+ becoming inactive during cold seasons"" (https://animaldiversity.org/accounts/Eurycea_bislineata/) happens when below 7 degrees (DOI: 10.2307/1563609)",non-migratory,taxa,NA,NA,NA,0.000014,average area in which movement took place was less than 14m2 (DOI: 10.2307/1563609),Micky/Ilona/Nikki,kunk,(http://www.northeastparc.org/products/riskassesspdfs/caudata/MaxLongevity_caudata.pdf),
,Eurycea,longicauda,Chordata,Amphibia,Caudata,Plethodontidae,unknown,365,1-2 years (amphibio),365,1-2 years (amphibio),Y,0-1,Mohr+ C.E. 1944. A remarkable salamander migration. Proceedings of the Pennsylvania Academy of Science 18:51-54.,,,20,TL - amphibio,,,,,,kunk,aestivation and hibernation patterns unknown+ migrate for winter but do not know whether still active (amphibiaweb),non-migratory,taxa,NA,NA,NA,<1km,ADW+ can estimate that it is less than 1km2,Micky/Ilona/Nikki,3650,10 years max lived by subspecies+ 5+years (http://www.northeastparc.org/products/riskassesspdfs/caudata/MaxLongevity_caudata.pdf) (https://animaldiversity.org/accounts/Eurycea_longicauda/#lifespan_longevity),
,Eurycea,lucifuga,Chordata,Amphibia,Caudata,Plethodontidae,unknown,1095,AnAge,1095,AnAge,Y,0-1,Hutchison+ V.H. 1958. The distribution and ecology of the cave salamander+ Eurycea lucifuga. Ecological Monographs 28:1-20.,,,20,TL - amphibio+ 20 from (Petranka+ J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press+ Washington and London.),,,,,,none,likely no hibernation or aestivation (AmphibiaWeb),non-migratory,taxa,NA,NA,NA,kunk,AmphibiaWeb,Micky/Ilona/Nikki,3321.5,9.1 years max (amphibio),
,Geocrinia,victoriana,Chordata,Amphibia,Anura,NA,Adult,unk,,unk,,,unk,,,,3.5,SVL - amphibio,,,,,,unk,,non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Hyla,alpina,Chordata,Amphibia,Anura,Hylidae,adult,unk,,unk,,,unk,,,,4,Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au],,,,,,unk,,non-migratory,taxa,NA,NA,NA,unk,,Micky,unk,,
,Hyla,aurea,Chordata,Amphibia,Anura,Hylidae,adult,182.5,0.5-1.6 years (amphibio),182.5,0.5-1.6 years (amphibio),Y,1-10,mark/recapture studies found individuals moved up to 3 km (White+ A.W. & G.H. Pyke (2008). Green and Golden Bell Frogs in New South Wales; current status and future prospects. Australian Zoologist. 34(3):319-333.),,,9.39,SVL - amphibio,,,,,,none,not proven to undergo any seasonal inactivity (wikipedia) but known to use overwintering habitat (https://www.environment.nsw.gov.au/resources/nature/recoveryplanGreenGoldBellFrogDraft.pdf),non-migratory,taxa,NA,NA,NA,unk,recapture data has no easy way to estimate ,Nikki,3650,10 years max (amphibio),
,Hyla,caerulea,Chordata,Amphibia,Anura,Hylidae,adult,730,2 years (https://animaldiversity.org/accounts/Litoria_caerulea/),730,2 years (https://animaldiversity.org/accounts/Litoria_caerulea/),Y,0-1,max 226m moved in a day+ tracking 20 days or longer moved total distance of 48 m to 653 m (https://doi.org/10.1111/aec.12158),,,10,SVL - amphibio,,,,,,dry,cover themselves in a cocoon of sloughed epidermis and mucus and burrow to keep moist (https://animaldiversity.org/accounts/Litoria_caerulea/),non-migratory,taxa,NA,NA,NA,0.000207-0.001956,average 'activity area' 207-1946m^2 (https://doi.org/10.1111/aec.12158),Nikki,7300,20 years max (amphibio),
,Hyla,chloris,Chordata,Amphibia,Anura,Hylidae,adult,1095,3 years (amphibio),1095,3 years (amphibio),Y,unk,,,,7,SVL - amphibio,,,,,,unk,,non-migratory,taxa,NA,NA,NA,unk,,Nikki,2190,6 years max (amphibio),
,Hyla,ewingi,Chordata,Amphibia,Anura,Hylidae,adult,unk,,unk,,,0-1,populations isolated genetically when 6km away (https://doi.org/10.1071/ZO15017),,,5,SVL - amphibio,,,,,,winter,torpid state during the winter (https://www.ingentaconnect.com/content/cryo/cryo/2007/00000028/00000005/art00004#),non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Hyla,glauerti,Chordata,Amphibia,Anura,Hylidae,adult,unk,,unk,,Y,0-1,closely related and same sized Wallam sedge frog thought to disperse ~500 m http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1821,,,3,for females+ under synonym Littoria fallax https://www.inaturalist.org/taxa/23656-Litoria-fallax,,,,,,none,no descriptions mention dormancy for any treefrog,non-migratory,taxa,NA,NA,NA,unk,,ALH,unk,"no data for this species but it is mid sized so could assume it is mid-lifespand. ""The lifespan of tree frogs varies among species. Some of them are long-lived+ such as the Australian green tree frog (Litoria caerulea)+ which is often kept in captivity for upward of 15 years. Species with lifespans of less than three years are considered short-lived."" - nwf.org national wildlife Federation (1100 to 5400)",
,Hyla,gracilenta,Chordata,Amphibia,Anura,Hylidae,NA,98,AmphibiaWeb - tadpoles take 14 weeks to mature,98,AmphibiaWeb,Y,unk,,,,5,Vanderduys+ E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing+ Clayton.,,,,,,none,non-burrowing (https://doi.org/10.1007/s00442-005-0177-2),non-migratory,taxa,NA,NA,NA,unk,,Micky/Nikki,unk,,
,Hyla,lesueuri,Chordata,Amphibia,Anura,Hylidae,NA,730,2-3 years (amphibio),730,2-3 years (amphibio),Y,0-1,female moved almost 900 m in straight-line distance in only 10 days (https://doi.org/10.1071/WR07014) and only short term annual movements (less than 1km) (https://doi.org/10.1071/WR07014),,,7,SVL - amphibio,,,,,,unk,,non-migratory,taxa,NA,NA,NA,unk,unable to estimate home range size+ results suggest nomadic (https://doi.org/10.1071/WR07014),Nikki,2555,7 years max (amphibio),
,Hyla,peroni,Chordata,Amphibia,Anura,Hylidae,NA,unk,,unk,,,0-1,"""often found a long distance from water"" (IUCN Redlist) and known to disperse at least 500m (https://doi.org/10.1111/j.1365-2656.2006.01096.x)",,,5.57,SVL - amphibio,,,,,,none,non-burrowing - table 1 (https://doi.org/10.1046/j.1365-2435.2001.00495.x),non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Hyla,phyllochroa,Chordata,Amphibia,Anura,Hylidae,adult,unk,,unk,,,unk,,,,4,SVL - amphibio,,,,,,unk,no good descriptions,non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Hyla,rothi,Chordata,Amphibia,Anura,Hylidae,adult,65,wikipedia 'adpoles take a maximum of 65 days to metamorphose',65,wikipedia 'adpoles take a maximum of 65 days to metamorphose',Y,0-1,closely related and same sized Wallam sedge frog thought to disperse ~500 m http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1821,,,5.5,SVL - amphibio,,,,,,none,non-burrowing (https://doi.org/10.1007/s00442-005-0177-2),non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,"no data for this species but it is mid sized so could assume it is mid-lifespand. ""The lifespan of tree frogs varies among species. Some of them are long-lived+ such as the Australian green tree frog (Litoria caerulea)+ which is often kept in captivity for upward of 15 years. Species with lifespans of less than three years are considered short-lived."" - nwf.org national wildlife Federation",
,Hyla,rubella,Chordata,Amphibia,Anura,Hylidae,NA,365,study classified adults as more than 1 year (https://doi.org/10.1002/rra.1347),365,study classified adults as more than 1 year (https://doi.org/10.1002/rra.1347),Y,unk,,,,3.5,SVL - amphibio,,,,,,none,non-burrowing (https://doi.org/10.1007/s00442-005-0177-2) but avoids extreme temperatures by sheltering beneath stones+ bark+ logs+ buildings etc (amphibiaweb),non-migratory,taxa,NA,NA,NA,unk,,Nikki,unk,,
,Hyla,versicolor,Chordata,Amphibia,Anura,NA,larva,730,AnAge,730,AnAge,,0-1,maximum dispersal distances of juveniles approaching 125 m (AmphibiaWeb),,,6,maximum length+ unk measurement type (https://animaldiversity.org/accounts/Hyla_versicolor/),,,,,,winter ,hibernate on land under woody debris such as logs+ roots and leaf litter (https://animaldiversity.org/accounts/Hyla_versicolor/),non-migratory,taxa,NA,NA,NA,0.049,kunk but used (DOI: 10.2307/3627136) max distance of 125 treated as radius ,Nikki,2825,max 7 years 9mo in captivity (amphibiaweb),
,Hyperolius,viridiflavus,Chordata,Amphibia,Anura,NA,Adult,120,4-12 months (https://animaldiversity.org/accounts/Hyperolius_viridiflavus/),120,4-12 months (https://animaldiversity.org/accounts/Hyperolius_viridiflavus/),Y,unk,,,,3.4,SVL - amphibio,,,,,,dry,aestivate out of burrows during dry season (https://animaldiversity.org/accounts/Hyperolius_viridiflavus/),non-migratory,taxa,NA,NA,NA,kunk,https://animaldiversity.org/accounts/Hyperolius_viridiflavus/,Nikki,365,1 year max (https://animaldiversity.org/accounts/Hyperolius_viridiflavus/),
,Limnodynastes,dorsalis,Chordata,Amphibia,Anura,Hylidae,adult,730,Minimum age at which females are known or suspected to first reproduce is 2-3 years. https://web.archive.org/web/20080719222308/http://frogsaustralia.net.au/frogs/display.cfm?frog_id=35,unk,,,unk,,,,7.3,SVL - amphibio,,,,,,hot,burrows during arid conditions (IUCN Redlist),non-migratory,taxa,NA,NA,NA,unk,,ALH/Nikki,unk,,
,Limnodynastes,peroni,Chordata,Amphibia,Anura,NA,Adult,unk,smallest mature individuals reported were 42.5 mm SVL for females and 48.0 mm SVL for males (https://www.researchgate.net/publication/260599495_Using_museum_frog_collections_to_assign_sex_and_age_categories_to_frogs_in_field_studies_A_case_study_with_the_Striped_Marsh_Frog_Limnodynastes_peronii),unk,,,0-1,at least 500m and few species are likely to regularly disperse greater than 1000 m (https://doi.org/10.1111/j.1365-2656.2006.01096.x),,,7.28,SVL - amphibio,6.5,slightly less than 65mm (https://animaldiversity.org/accounts/Limnodynastes_peronii),6.5,65mm (https://animaldiversity.org/accounts/Limnodynastes_peronii/),,unk,,non-migratory,taxa,NA,NA,NA,unk,less than 1km dispersal (https://doi.org/10.1890/10-0390.1),Nikki,unk,,
