num,reference,in_text
568,"Lindeberg, M., & Lindstrom, S. (n.d.). Dictyosiphon foeniculaceus. Seaweeds of Alaska. Retrieved June 23, 2020, from http://www.seaweedsofalaska.com/species.asp?SeaweedID=233","Lindeberg & Lindstrom, n.d."
569,"DeCew, T., & Silva, P. C. (2006). Haplogloia andersonii (Farlow) Levring. DeCew’s Guide to the Seaweeds of British Columbia, Washington, Oregon, and Northern California. https://ucjeps.berkeley.edu/guide/brown42.html","DeCew & Silva, 2006"
570,"Chmura, G., Pohle, G., Van Guelpen, L., Page, F., & Costello, M. (2007). Climate Change and Thermal Sensitivity of Canadian Atlantic Commercial Marine Species. Canada’s Climate Change Impacts and Adaptation Program. http://www.geog.mcgill.ca/climatechange/ReportsMap/kelp_all_speciesRpt.pdf","Chmura et al., 2007"
571,"Celmisia Species, New Zealand Daisy. (n.d.). Dave’s Garden. Retrieved June 23, 2020, from https://davesgarden.com/guides/pf/go/127491/#b","Celmisia Species, New Zealand Daisy, n.d."
572,"Montalvo, A. M. (2004). Eriogonum fasciculatum Benth. In J. K. Francis (Ed.), Wildland Shrubs of the United States and Its Territories: Thamnic Descriptions, Gen. Tech. Rep. IITF-GTR-26 (Vol. 1).","Montalvo, 2004"
573,"Atriplex hymenelytra. (n.d.-a). Lady Bird Johnson Wildflower Center. Retrieved June 23, 2020, from https://www.wildflower.org/plants/result.php?id_plant=ATHY","Atriplex hymenelytra, n.d.-a"
574,"Mandrak, N. E., & Holm, E. (2001). Update COSEWIC status report on the blackstripe topminnow Fundulus notatus in Canada. In COSEWIC assessment and update on status report on the Blackstripe Topminnow Fundulus notatus in Canada.","Mandrak & Holm, 2001"
575,"Rennie, M. D., Ebener, M. P., & Wagner, T. (2012). Can migration mitigate the effects of ecosystem change? Patterns of dispersal, energy acquisition and allocation in Great Lakes lake whitefish (Coregonus clupeaformis). Advances in Limnology, 63, 455–476. https://doi.org/10.1127/advlim/63/2012/455","Rennie et al., 2012"
576,"Arctic grayling. (n.d.). In Fish and Aquatic Conservation: Freshwater Fish of America. Retrieved June 23, 2020, from https://www.fws.gov/fisheries/freshwater-fish-of-america/arctic_grayling.html","“Arctic grayling,” n.d."
577,"Cai, Z., Wang, Y., Hu, J., Zhang, J., & Lin, Y. (2010). Reproductive biology of Scatophagus argus and artificial induction of spawning. Journal of Tropical Oceanography. http://en.cnki.com.cn/Article_en/CJFDTotal-RDHY201005030.htm","Cai et al., 2010"
578,"Crocker, J. (1995). The Life History Fundamentals of Sea-Run Cutthroat Trout. Sea-Run Cutthroat Trout Oncorhynchus Clarki Clarki. https://odfw.forestry.oregonstate.edu/conference/cuthist.html","Crocker, 1995"
579,"Beachy, J. R., Neville, R., & Arnott, C. (2011). Successful control of an incipient invasive amphibian: Eleutherodactylus coqui on O’ahu, Hawai’i. Island Invasives: Eradication and Management - Proceedings of the International Conference on Island Invasives, 140–147.","Beachy et al., 2011"
580,"Mowbray, A. (n.d.-a). Forest Coqui. El Yunque National Forest, United States Department of Agriculture. Retrieved June 23, 2020, from https://www.fs.usda.gov/detail/elyunque/learning/nature-science/?cid=fsbdev3_042901","Mowbray, n.d.-a"
581,Gila robusta jordani. (1990). Nevada Natural Heritage Program. http://heritage.nv.gov/taxon_detail/16333,"Gila robusta jordani, 1990"
582,"Nelson, W. R. (1974). Age, growth, and maturity of thirteen species of fish from Lake Oahe during the early years of impoundment, 1963-68. In Technical Paper. http://pubs.er.usgs.gov/publication/tp77","Nelson, 1974"
583,"Bindu, L., & Padmakumar, K. G. (2016). Developmental Aspects of the Endemic Cichlid Fish Etroplus Suratensis (Bloch, 1790) in Captivity. Journal of Aquatic Biology & Fisheries, 4, 45–55.","Bindu & Padmakumar, 2016"
584,"Caudata - Max Longevity. (n.d.). In Risk Assessment. Retrieved June 23, 2020, from http://www.northeastparc.org/products/riskassesspdfs/caudata/MaxLongevity_caudata.pdf","""Caudata - Max Longevity,"" n.d."
585,"Lithobates sylvaticus (LeConte, 1825) -- Wood Frog. (n.d.). Illinois Natural Hustory Survey Amphibian and Reptile Collection. https://www.inhs.illinois.edu/collections/herps/data/ilspecies/ra_sylvati/","Lithobates sylvaticus (LeConte, 1825) -- Wood Frog, n.d."
586,"Silene acaulis. (n.d.). Perennials.Com. Retrieved June 23, 2020, from http://www.perennials.com/plants/silene-acaulis.html","Silene acaulis, n.d."
587,"Breitwieser, I., Brownsey, P. J., Nelson, W. A., Smissen, R., & Wilton, A. D. (Eds.). (2020). Hectorella caespitosa Hook.f. Flora of New Zealand Online – Taxon Profile - Hectorella Caespitosa Hook.f. (Based on: Flora Committee). http://www.nzflora.info/factsheet/Taxon/Hectorella-caespitosa.html","Breitwieser et al., 2020"
588,"Lemckert, F., & Mahony, M. (2018). The status of decline and conservation of frogs in temperate coastal south-eastern Australia. In H. Heatwole & J. J. L. Rowley (Eds.), Status of Conservation and Decline of Amphibians: Australia, New Zealand, and Pacific Islands. CSIRO Publishing.","Lemckert & Mahoney, 2018"
589,"Moser, H. G. (1996). The early stages of fishes in the California current region. California cooperative oceanic fisheries investigations, Atlas No. 33. In Cooperative Oceanic Fisheries Investigations.","Moser, 1996"
590,"Saraniemi, M., Huusko, A., & Tahkola, H. (2008). Spawning migration and habitat use of adfluvial brown trout, Salmo trutta, in a strongly seasonal boreal river. Boreal Environment Research, 13(2), 121–132.","Saraniemi et al., 2008"
591,"Chambers, J. (2008). Terrestrial habitat requirements of a suite of anuran species inhabiting a semi-arid region of South East Queensland [Queensland University of Technology]. https://eprints.qut.edu.au/16610/1/Joanne_Chambers_Thesis.pdf","Chambers, 2008"
592,"Atriplex leucophylla. (2020). In Calflora: Information on California plants for education, research and conservation, with data contributed by public and private institutions and individuals, including the Consortium of California Herbaria. [web application]. The Calflora Database [a non-profit organization]. https://www.calflora.org/","“Atriplex leucophylla,” 2020"
593,"USDA, N. (2006). The PLANTS Database. National Plant Data Center. http://plants.usda.gov","USDA, 2006"
594,"Sawyer, J. O., Keeler-Wolf, T., & Evens, J. M. (2001). A Manual of California Vegetation. In Bulletin of the Torrey Botanical Club (2nd ed.). California Native Plant Society Press.","Sawyer et al., 2001"
595,"de Lange, P. J. (2020). Dracophyllum muscoides Fact Sheet (content continuously updated). New Zealand Plant Conservation Network. https://www.nzpcn.org.nz/flora/species/dracophyllum-muscoides/","de Lange, 2020"
596,"Averett, D. E. (2012b). Salvia mohavensis. In Jepson Flora Project (eds.) Jepson eFlora. https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=43077","Averett, 2012b"
597,"Bromus rubens. (2020). In Calflora: Information on California plants for education, research and conservation, with data contributed by public and private institutions and individuals, including the Consortium of California Herbaria. [web application]. The Calflora Database [a non-profit organization]. https://www.calflora.org/","“Bromus rubens,” 2020"
598,Calathus melanocephalus. (2009). In NatureSpot. https://www.naturespot.org.uk/species/calathus-melanocephalus,"“Calathus melanocephalus,” 2009"
599,Litoria verreauxi. (2020). In Frogs of Australia. Amphibian Research Centre. https://frogs.org.au/frogs/species/Litoria/verreauxi/,"“Litoria verreauxi,” 2020"
600,Department of Environment and Conservation NSW. (2005). Draft Recovery Plan for the Green and Golden Bell Frog (Litoria aurea). https://www.environment.nsw.gov.au/resources/nature/recoveryplanGreenGoldBellFrogDraft.pdf,"Department of Environment and Conservation NSW, 2005"
601,"Ocock, J., & Wassens, S. (2018). The status of decline and conservation of frogs in the arid and semi-arid zones of Australia. In H. Heatwole & J. Rowley (Eds.), Status of conservation and decline of amphibians: Austrlia, New Zealand and Pacific Islands (pp. 91–106). CSIRO Publishing.","Ocock, 2018"
602,"Tyler, M., & Knight, F. (2020). Field Guide to the Frogs of Australia (2nd ed.). CSIRO Publishing.","Tyler & Knight, 2020"
603,"Poe, S., Nieto-Montes De Oca, A., Torres-Carvajal, O., De Queiroz, K., Velasco, J. A., Truett, B., Gray, L. N., Ryan, M. J., Köhler, G., Ayala-Varela, F., & Ian Latella, A. (2017). A phylogenetic, biogeographic, and taxonomic study of all extant species of anolis (Squamata; Iguanidae). Systematic Biology. https://doi.org/10.1093/sysbio/syx029","Poe et al., 2017"
604,"Losos, J. B., & Leal, M. (Eds.). (1999). Anolis Newsletter V.","Losos & Leal, 1999"
605,"Joosse-van Damme, E. N. G. (1965). Pitfall-trapping as a method for studying surface dwelling collembola. In Zeitschrift für Morphologie und Ökologie der Tiere. https://doi.org/10.1007/BF00407477","Joosse-van Damme, 1965"
606,"Chew, R. M. (1987). Population Dynamics of Colonies of Three Species of Ants in Desertified Grassland, Southeastern Arizona, 1958-1981. American Midland Naturalist. https://doi.org/10.2307/2425641","Chew, 1987"
607,"Chown, S. L. (1993). Instar number and mass of Palirhoeus eatoni (C. O. Waterhouse) and Bothrometopus randi Jeannel (Coleoptera: Curculionidae) from subantarctic Marion Island. Coleopterists Bulletin, 47(1), 69–73.","Chown, 1993"
608,"Pollock, J. N. (Ed.). (1982). Chapter 2 - Ecology of Morsitans Group Species. In Training Manual for Testse Control Personnel Volume 2.","Pollock, 1982"
609,"Phillips, B. L., Muñoz, M. M., Hatcher, A., Macdonald, S. L., Llewelyn, J., Lucy, V., & Moritz, C. (2016). Heat hardening in a tropical lizard: geographic variation explained by the predictability and variance in environmental temperatures. Functional Ecology. https://doi.org/10.1111/1365-2435.12609","Phillips et al., 2016"
610,Species profile: Lithobates catesbeianus. (2020). Global Invasive Species Database. http://www.iucngisd.org/gisd/speciesname/Lithobates+catesbeianus,"Species profile: Lithobates catesbeianus, 2020"
611,"Calathus melanocephalus (Linnaeus, 1758). (2020). UK Beetles. https://www.ukbeetles.co.uk/calathus-melanocephalus","Calathus melanocephalus (Linnaeus, 1758), 2020"
612,"Vernier, R. (2020). Temnothorax curvispinosus. BugGuide. https://bugguide.net/node/view/382030","Vernier, 2020"
613,"Erkinaro, J., Økland, F., Moen, K., & Niemelä, E. (1999). Return migration of the Atlantic salmon in the Tana River: Distribution and exploitation of radiotagged multi-sea-winter salmon. Boreal Environment Research.","Erkinaro et al., 1999"
614,"Warren, M. L., & Burr, B. M. (Eds.). (2014). Freshwater Fishes of North America: Volume 1: Petromyzontidae to Catostomidae. JHU Press.","Warren & Burr, 2014"
,"Snelson, F. F., Williams-Hooper, S. E., & Schmid, T. H. (1988). Reproduction and Ecology of the Atlantic Stingray, Dasyatis sabina, in Florida Coastal Lagoons. Copeia, 1988(3), 729–739. https://doi.org/10.2307/1445395","Snelson et al., 1988"
,"Silverman, J., & Brightwell, R. J. (2008). The Argentine Ant: Challenges in Managing an Invasive Unicolonial Pest. Annual Review of Entomology, 53(1), 231–252. https://doi.org/10.1146/annurev.ento.53.103106.093450","Silverman & Brightwell, 2008"
,"Gerasimova, A. V., Martynov, F. M., Filippova, N. A., & Maximovich, N. V. (2016). Growth of Mya arenaria L. At the northern edge of the range: Heterogeneity of soft-shell clam growth characteristics in the White Sea. Helgoland Marine Research, 70(1). https://doi.org/10.1186/s10152-016-0457-8","Gerasimova et al., 2016"
,Species profile: Gemma gemma. (2020). Global Invasive Species Database. http://www.iucngisd.org/gisd/species.php?sc=1146,"Species profile: Gemma gemma, 2020"
,"Lu, J. K., Chen, T. T., Allen, S. K., Matsubara, T., & Burns, J. C. (1996). Production of transgenic dwarf surfclams, Mulinia lateralis, with pantropic retroviral vectors. Proceedings of the National Academy of Sciences of the United States of America, 93(8), 3482–3486. https://doi.org/10.1073/pnas.93.8.3482","Lu et al., 1996"
,"Miller, D. L. (1984). Distribution, Abundance, and Habitat of the Arkansas Darter Etheostoma cragini (Percidae) in Colorado. The Southwestern Naturalist, 29(4), 496–499. https://doi.org/10.2307/3671005","Miller, 1984"
,"Tyus, H. M., & Minckley, W. L. (1988). Migrating mormon crickets, Anabrus simplex (Orthoptera: Tettigoniidae), as food for stream fishes. Great Basin Naturalist, 48(1), 25–30.","Tyus & Minckley, 1988"
,"Marsh, P. C., Mueller, G. A., & Schwemm, M. R. (2013). Diel Cover use and Local Site Fidelity of a Large Southwestern Cyprinid, Bonytail Gila elegans, in a Lower Colorado River Backwater. Western North American Naturalist, 73(2), 211–218. ","Marsh et al., 2013"
,"McCarthy, M. S., & Minckley, W. L. (1987). Age Estimation for Razorback Sucker (Pisces: Catostomidae) From Lake Mohave, Arizona and Nevada. Journal of the Arizona-Nevada Academy of Science, 21(2), 87–97.","McCarthy & Minckley, 1987"
,"Hines, A. H. (1991). Fecundity and reproductive output in nine species of Cancer crabs (Crustacea, Brachyura, Cancridae). Canadian Journal of Fisheries and Aquatic Sciences, 48(2), 267–275. https://doi.org/10.1139/f91-037","Hines, 1991"
,"Zweifel, R. G., & Lowe, C. H. (1966). The ecology of a population of Xantusia vigilis the Desert Night Lizard. American Museum Novitates, 2247(2), 1–57.","Zweifel & Lowe, 1966"
